Genus	Species	1C (pg)
Salvia	canariensis	0.5
Echium	bethencourtii	0.5
Thlaspi	goesigense	0.5
Penstemon	davidsonii	0.5
Penstemon	triphyllus	0.5
Pinguicula	ehlersiae	0.5
Bituminaria	bituminosa	0.5
Oryza	sativa	0.5
Murraya	paniculata	0.5
Hyssopus	officinalis	0.5
Berberis	koreana	0.5
Quercus	sessilis	0.5
Vigna	oblongifolia	0.5
Bulnesia	foliosa	0.5
Sisyrinchium	tinctorium	0.5
Brassica	hirta	0.5
Prunus	serotina	0.5
Neviusia	alabamensis	0.5
Osmaronia	cerasiformis	0.5
Scirpus	lacustris	0.5
Hygroryza	aristata	0.5
Vitis	rubra	0.5
Vitis	cinerea	0.5
Vitis	amurensis	0.5
Vitis	coignetiae	0.5
Vitis	berlandieri	0.5
Vitis	betulifolia	0.5
Polygonum	maritimum	0.5
Coffea	pseudozanguebariae	0.5
Prosopis	siliquas	0.5
Lonchocarpus	angusticarpus	0.5
Rosa	rugosa	0.5
Oryza	glumaepatula	0.5
Oryza	meridionalis	0.5
Carex	reinii	0.5
Carex	morrowii	0.5
Lotus	borbasii	0.5
Lotus	filicaulis	0.5
Lotus	schoelleri	0.5
Sinapis	alba	0.5
Leucaena	pueblana	0.5
Cardaminopsis	arenosa	0.5
Plantago	famarae	0.5
Periploca	laevigata	0.5
Veronica	baumgartenii	0.5
Oxalis	dillenii	0.5
Lemna	obscura	0.5
Lemna	gibba G-3	0.5
Aquilegia	vulgaris	0.51
Gillenia	stipulata	0.51
Lavandula	buchii	0.51
Hypericum	canariense	0.51
Musschia	aurea	0.51
Echium	aculeatum	0.51
Echium	hierrense	0.51
Dianthus	carthusianorum	0.51
Penstemon	personatus	0.51
Reseda	luteola	0.51
Leucaena	magnifica	0.51
Gesnouinia	arborea	0.51
Lavandula	multifida	0.51
Psychine	stylosa	0.51
Pachycladon	fastigiata	0.51
Diplotaxis	erucoides	0.51
Aeonium	ciliatum	0.51
Monanthes	muralis	0.51
Pitcairnia	cardenasii	0.51
Galium	anisophyllon	0.51
Theobroma	speciosum	0.51
Theobroma	grandiflorum	0.51
Penstemon	linarioides	0.51
Dillenia	indica	0.51
Phaseolus	microcarpus	0.52
Cynodon	transvaalensis	0.52
Aeonium	smithii	0.52
