Genus	Species	1C (pg)	Original Reference	Paper
Chamaecytisus	proliferus	1.25	Suda et al., 2005 (Ref. 552)	2011
Curcuma	mutabilis	1.25	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Brasenia	schreberi	1.25	Diao et al., 2006 (Ref. 626)	2012
Arctostaphylos	uva-ursi	1.25	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Ecballium	elaterium	1.25	Vesely et al., 2011 (Ref. 675)	2012
Armoracia	lapatifolia	1.25	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Sisyrinchium	macounii	1.25	Kenton et al., 1986 (Ref. 177)	1995
Sisyrinchium	striatum	1.25	Kenton et al., 1986 (Ref. 177)	1995
Artocarpus	lakoocha	1.25	Ohri and Kumar, 1986 (Ref. 185)	1995
Anogeissus	latifolia	1.25	Ohri and Kumar, 1986 (Ref. 185)	1995
Eustrephus	latifolius	1.25	Bharathan et al., 1994 (Ref. 272)	1997
Bridelia	retusa	1.25	Ohri, 1996 (Ref. 301)	1997
Polyalthia	suberosa	1.25	Ohri, 1996 (Ref. 301)	1997
Rhynchosia	rothii	1.25	Ohri, 1996 (Ref. 303)	1997
Laelia	rubescens	1.25	Jones et al., 1998 (Ref. 307)	2000
Cattleya	schombocattleya	1.25	Nagl and Capesius, 1977 (Ref. 60)	1982
Dendroseris	litoralis	1.25	Lack et al., 1978 (Ref. 88)	1982
Dendroseris	micrantha	1.25	Lack et al., 1978 (Ref. 88)	1982
Sedum	acre	1.25	Nagl et al., 1983 (Ref. 457)	2005a
Onobrychis	viciifolia	1.25	Hayot C., 2010 (Ref. 656)	2012
Rhynchosia	minima	1.25	Ohri and Singh, 2002 (Ref. 443)	2005a
Daphniphyllum	pentandrum	1.25	Hanson et al., 2005 (Ref. 612)	2011
Tillandsia	usneoides	1.26	Zonneveld et al., 2005 (Ref. 466)	2005b
Cyanus	tuberosus	1.26	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Lotus	sessilifolius	1.26	Suda et al., 2005 (Ref. 552)	2011
Valeriana	rotundifolia	1.26	Hidalgo et al., 2010 (Ref. 638)	2012
Dracaena	deremensis	1.26	Vesely et al., 2011 (Ref. 675)	2012
Astelia	fragrans	1.27	Hanson et al., 2003 (Ref. 380)	2005a
Acacia	dealbata	1.27	Blakesley et al., 2002 (Ref. 441)	2005a
Cirsium	spinosissimum	1.27	Bures et al., 2004 (Ref. 472)	2011
Schiedea	nuttallii	1.27	Kapralov et al., 2009 (Ref. 684)	2012
Dentaria	enneaphyllos	1.27	Vesely et al., 2011 (Ref. 675)	2012
Crataegus	chrysocarpa	1.27	Telent & Dickinson, 2005 (Ref. 527)	2011
Pandanus	odorifer (syn. P. tectorius)	1.27	Panda et al., 2009 (Ref. 640)	2012
Taraxacum	officinale	1.28	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Glycine	argyrea	1.28	Hammatt et al., 1991 (Ref. 165)	1995
Coprosma	robusta	1.28	Kiehn, 1986 (Ref. 175)	1995
Leucaena	leucocephala	1.28	Ohri and Kumar, 1986 (Ref. 185)	1995
Cassia	excelsa	1.28	Ohri et al., 1986 (Ref. 186)	1995
Larrea	tridentata	1.28	Poggio et al., 1989 (Ref. 195)	1995
Aronia	arbutifolia	1.28	Dickson et al., 1992 (Ref. 262)	1995
Leucaena	esculenta	1.28	Palomino et al., 1995 (Ref. 278)	1997
Albizzia	lucida	1.28	Ohri, 1996 (Ref. 301)	1997
Crotalaria	mucronata	1.28	Gupta, 1976 (Ref. 65)	1982
Crataegus	aemula	1.28	Telent & Dickinson, 2005 (Ref. 527)	2011
Amelanchier	stolonifera	1.28	Jedrzejczyk and Sliwinska, 2010 (Ref. 661)	2012
Prosopis	cineraria	1.28	Ohri, 2002 (Ref. 454)	2005a
Empetrum	hermaphroditum	1.28	Suda et al., 2002 (Ref. 496)	2011
Asparagus	umbellatus	1.28	Suda et al., 2003 (Ref. 477)	2011
Stachys	sylvatica	1.28	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Patrinia	rupestris	1.28	Hidalgo et al., 2010 (Ref. 638)	2012
Brachypodium	retusum	1.29	Wolny and Hasterok, 2009 (Ref. 629)	2012
Dioscorea	cayenensis	1.29	Obidiegwu et al., 2009 (Ref. 633)	2012
Acer	heldreichii	1.29	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Patrinia	scabiosifolia	1.29	Hidalgo et al., 2010 (Ref. 638)	2012
Cerastium	eriophorum	1.29	Boscaiu et al., 1999 (Ref. 427)	2005a
Telekia	speciosa	1.29	Kubesová et al., 2010 (Ref. 630)	2012
Eleocharis	carniolica	1.29	Zedek et al., 2010 (Ref. 632)	2012
Cerastium	grandiflorum	1.29	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Gardenia	resiniflua	1.30	Ohri, 2002 (Ref. 454)	2005a
Ramonda	myconi	1.30	Siljak-Yakovlev et al., 2008 (Ref. 669)	2012
Galium	palustre	1.30	Band, 1984 (Ref. 154)	1991
Syringa	josikaea	1.30	Olszewska and Osiecka, 1984 (Ref. 157)	1991
Oxalis	hedysarifolia	1.30	De Azkue and Martínez, 1988 (Ref. 172)	1995
Euphorbia	pulcherrima	1.30	Galbraith et al., 1983 (Ref. 240)	1995
