Genus	Species	1C (pg)	Original Reference	Paper
Allium	akaka	13.55	Vakhtina et al., 1977 (Ref. 193)	1995
Urginea	maritima	13.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Bellevalia	tauri	13.58	Hanson et al., 1993 (Ref. 269-I)	1995
Hordeum	procerum	13.59	Jakob et al., 2004 (Ref. 491)	2011
Chortolirion	angolense	13.60	Zonneveld and Fritz, 2010 (Ref. 649)	2012
Chortolirion	tenuifolium	13.60	Zonneveld and Fritz, 2010 (Ref. 649)	2012
Oxalis	psoraleoides	13.65	De Azkue and Martínez, 1988 (Ref. 172)	1995
Allium	junceum	13.65	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Aloe	polyphylla	13.65	Zonneveld, 2002 (Ref. 440)	2005a
Leucanthemum	pallens	13.68	Marchi et al., 1983 (Ref. 111)	1991
Bulbine	bulbosa	13.70	Watson, 1981 (Ref. 128)	1991
Sessilistigma	radians	13.70	Goldblatt et al., 1984 (Ref. 137)	1991
Tradescantia	commelinoides	13.70	Kenton and Drakeford, 1990 (Ref. 260)	1995
Echinodorus	paniculatus	13.70	Baum et al., 1989 (Ref. 269-D)	1995
Aloe	comptonii	13.70	Zonneveld, 2002 (Ref. 440)	2005a
Lilium	amabile	13.70	Zonneveld et al., 2005 (Ref. 466)	2005b
Kniphofia	uvaria	13.73	Vesely et al., 2011 (Ref. 675)	2012
Amylotheca	dictyophleba	13.75	Martin., 1983 (Ref. 109)	1991
Allium	saxatile	13.75	Vakhtina et al., 1977 (Ref. 193)	1995
Tradescantia	poelliae	13.75	Kenton and Drakeford, 1990 (Ref. 260)	1995
Aloe	mitriformis	13.75	Zonneveld, 2002 (Ref. 440)	2005a
Nerine	duparquetiana	13.75	Zonneveld & Duncan, 2006 (Ref. 532)	2011
Amyema	friesianum	13.78	Martin., 1983 (Ref. 109)	1991
Hierochloe	fusca	13.78	Murray et al., 2005 (Ref. 528)	2011
Elymus	falcis	13.79	Murray et al., 2005 (Ref. 528)	2011
Lygeum	spartum	13.80	Bennett and Smith, 1987 (Ref. 164)	1995
Aloe	ecklonis	13.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Hermodactylus	tuberosus	13.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Cyrtanthus	montanus	13.85	Zonneveld et al., 2005 (Ref. 466)	2005b
Elymus	sacandros	13.87	Murray et al., 2005 (Ref. 528)	2011
Amyema	finisterrae	13.88	Martin., 1983 (Ref. 109)	1991
Callisia	soconuscensis	13.88	Lewis and Kenton, 1989 (Ref. 269-E)	1995
Allium	delicatulum	13.90	Vakhtina et al., 1977 (Ref. 193)	1995
Pinanga	subintegra	13.90	Röser et al., 1997 (Ref. 271)	1997
Amorphophallus	lewallei	13.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Hierochloe	brunonis	13.91	Murray et al., 2005 (Ref. 528)	2011
Aloe	arborescens (yellow flowers)	13.95	Zonneveld, 2002 (Ref. 440)	2005a
Senecio	sempervivus	13.95	Zonneveld et al., 2005 (Ref. 466)	2005b
Allium	giganteum	14.00	Vakhtina et al., 1977 (Ref. 193)	1995
Nerine	pusilla	14.00	Zonneveld & Duncan, 2006 (Ref. 532)	2011
Elymus	apricus	14.10	Murray et al., 2005 (Ref. 528)	2011
Allium	albidum	14.13	Vakhtina et al., 1977 (Ref. 193)	1995
Sagittaria	graminea	14.13	Baum et al., 1989 (Ref. 269-D)	1995
Allium	mairei	14.13	Ohri et al., 1996 (Ref. 299)	1997
Allium	macrochaetum	14.15	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Euphorbia	valida	14.15	Vosa and Bassi, 1991 (Ref. 333)	2000
Helleborus	vesicarius	14.15	Zonneveld, 2001 (Ref. 383)	2005a
Adonis	vernalis	14.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Ranunculus	ficaria	14.18	Smith and Bennett, 1975 (Ref. 45)	1976
Medeola	virginica	14.20	Bharathan et al., 1994 (Ref. 272)	1997
Aloe	micracantha	14.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Nerine	undulata	14.20	Zonneveld & Duncan, 2006 (Ref. 532)	2011
Aloe	yemenica	14.23	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Allium	karsianum	14.25	Vakhtina et al., 1977 (Ref. 193)	1995
Allium	praescissum	14.25	Vakhtina et al., 1977 (Ref. 193)	1995
Echinodorus	osiris	14.25	Bharathan et al., 1994 (Ref. 272)	1997
Allium	bucharicum	14.25	Ohri et al., 1996 (Ref. 299)	1997
Hosta	clausa	14.25	Zonneveld and Van Iren, 2001 (Ref. 384)	2005a
Aloe	vanbalenii	14.25	Zonneveld, 2002 (Ref. 440)	2005a
Elymus	solandri	14.28	Murray et al., 2005 (Ref. 528)	2011
Adoxa	moschatellina	14.30	Greilhuber J., 1979 (Ref. 100)	1982
Euphorbia	meloformis	14.30	Vosa and Bassi, 1991 (Ref. 333)	2000
Aloe	suprafoliata	14.30	Zonneveld, 2002 (Ref. 440)	2005a
Moraea	atropunctata	14.35	Goldblatt et al., 1984 (Ref. 137)	1991
Allium	mongolicum	14.35	Ohri et al., 1996 (Ref. 299)	1997
Euphorbia	polygona	14.35	Vosa and Bassi, 1991 (Ref. 333)	2000
Hippeastrum	reticulatum	14.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Tulipa	linifolia	14.38	Leitch et al., 2007 (Ref. 565)	2011
Allium	chamaemoly	14.38	Vesely et al., 2011 (Ref. 675)	2012
Aloe	speciosa	14.40	Zonneveld, 2002 (Ref. 440)	2005a
Narcissus	romieuxii	14.40	Zonneveld, 2008 (Ref. 581)	2011
Aloe	pluridens	14.45	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	cryptopoda	14.45	Zonneveld, 2002 (Ref. 440)	2005a
Anthericum	liliago	14.45	Zonneveld et al., 2005 (Ref. 466)	2005b
Hordeum	brachyantherum	14.45	Jakob et al., 2004 (Ref. 491)	2011
Ficaria	verna	14.51	Vesely et al., 2011 (Ref. 675)	2012
Bulbine	bulbosa	14.55	Watson, 1981 (Ref. 128)	1991
Allium	altaicum	14.55	Vakhtina et al., 1977 (Ref. 193)	1995
Aloe	spicata	14.55	Zonneveld, 2002 (Ref. 440)	2005a
Hippeastrum	papilio	14.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Aloe	ukambensis	14.58	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Koeleria	tristis	14.62	Pecinka et al., 2006 (Ref. 533)	2011
Echinodorus	martii	14.65	Baum et al., 1989 (Ref. 269-D)	1995
Podophyllum	emodi	14.67	Vesely et al., 2011 (Ref. 675)	2012
Paeonia	delavayi	14.68	Mulry and Hanson, 1999 (Ref. 374)	2000
Allium	hissaricum	14.70	Ohri et al., 1996 (Ref. 299)	1997
Helleborus	niger	14.73	Temsch et al., 2010 (Ref. 627)	2012
Cyrtanthus	elatus	14.75	Zonneveld et al., 2005 (Ref. 466)	2005b
Aloe	verdoorniae	14.80	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Helleborus	atrorubens	14.80	Zonneveld, 2001 (Ref. 383)	2005a
Helleborus	multifidus	14.80	Zonneveld, 2001 (Ref. 383)	2005a
Bulbine	asphodeloides	14.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Chlorophytum	hoffmannii	14.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Helleborus	orientalis	14.85	Zonneveld, 2001 (Ref. 383)	2005a
Aloe	brevifolia	14.85	Zonneveld, 2002 (Ref. 440)	2005a
Helleborus	torquatus	14.90	Zonneveld, 2001 (Ref. 383)	2005a
Arisarum	simorrhinum	14.94	Vesely et al., 2011 (Ref. 675)	2012
Helleborus	cyclophyllus	14.95	Zonneveld, 2001 (Ref. 383)	2005a
Bulbine	frutescens	14.95	Zonneveld et al., 2005 (Ref. 466)	2005b
Hippeastrum	parodii	14.98	Naranjo and Poggio, 1988 (Ref. 182)	1995
Hierochloe	redolens	14.99	Murray et al., 2005 (Ref. 528)	2011
Orontium	aquaticum	15.00	Baum et al., 1989 (Ref. 269-D)	1995
Drosophyllum	lusitanicum	15.00	Rothfels and Heimburg, 1968 (Ref. 39)	1976
Narcissus	bujei	15.00	Zonneveld, 2008 (Ref. 581)	2011
Iris	vicaria	15.03	Hanson et al., 1999 (Ref. 377)	2000
Decaisnina	hollrungii	15.05	Martin., 1983 (Ref. 109)	1991
Amyema	strongylophyllum	15.05	Martin., 1983 (Ref. 109)	1991
Amaryllis	belladonna	15.05	Olszewska and Osiecka, 1982 (Ref. 155)	1991
Aloe	haworthioides	15.05	Zonneveld, 2002 (Ref. 440)	2005a
Anemone	blanda	15.08	Kenton and Owens, 1988 (Ref. 269-A)	1995
Allium	angulosum	15.10	Ohri et al., 1996 (Ref. 299)	1997
Hepatica	falconeri	15.10	Mabuchi et al., 2005 (Ref. 495)	2011
Narcissus	elegans	15.10	Zonneveld, 2008 (Ref. 581)	2011
Tulipa	montana	15.13	Leitch et al., 2007 (Ref. 565)	2011
Loranthus	acaciae	15.15	Ulrich et al., 1988 (Ref. 248)	1995
Elymus	alatavicus	15.15	Vogel et al., 1999 (Ref. 343)	2000
Clematis	flammula	15.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Narcissus	tazetta	15.15	Zonneveld, 2008 (Ref. 581)	2011
Helleborus	viridis	15.20	Zonneveld, 2001 (Ref. 383)	2005a
Aloe	ferox	15.20	Zonneveld, 2002 (Ref. 440)	2005a
Senecio	cephalophorus	15.20	Zonneveld et al., 2005 (Ref. 466)	2005b
Helleborus	purpurascens	15.25	Zonneveld, 2001 (Ref. 383)	2005a
Sambucus	nigra	15.25	Nagl et al., 1983 (Ref. 457)	2005a
Rudbeckia	laciniata	15.27	Kubesová et al., 2010 (Ref. 630)	2012
Lysiana	exocarpi	15.28	Martin., 1983 (Ref. 109)	1991
Cyphomandra	sibundoyensis	15.30	Pringle and Murray, 1991 (Ref. 208)	1995
Aloe	scobinifolia	15.30	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Maianthemum	bifolium	15.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Chortolirion	latifolium	15.30	Zonneveld and Fritz, 2010 (Ref. 649)	2012
Allium	montibaicalense	15.33	Ohri et al., 1996 (Ref. 299)	1997
Amyema	preissii	15.35	Martin., 1983 (Ref. 109)	1991
Helleborus	odorus	15.35	Zonneveld, 2001 (Ref. 383)	2005a
Aloe	barberae	15.35	Zonneveld, 2002 (Ref. 440)	2005a
Polygonatum	multiflorum	15.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Aloe	petricola	15.40	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	microstigma	15.40	Zonneveld, 2002 (Ref. 440)	2005a
Allium	roylei	15.43	Labani and Elkington, 1987 (Ref. 191)	1995
Allium	lipskyanum	15.43	Ohri et al., 1996 (Ref. 299)	1997
Ledebouria	petiolata	15.43	Vesely et al., 2011 (Ref. 675)	2012
Paeonia	rockii	15.45	Mulry and Hanson, 1999 (Ref. 374)	2000
Habenaria	pectinata	15.48	Narayan et al., 1989 (Ref. 250)	1995
Paeonia	ruprechtiana	15.54	Punina and Alexandrova, 1992 (Ref. 459)	2005a
Allium	gunibicum	15.55	Vakhtina et al., 1977 (Ref. 193)	1995
Ornithogalum	pyrenaicum	15.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Allium	chloranthum	15.58	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Allium	rotundum	15.60	Vakhtina et al., 1977 (Ref. 193)	1995
Allium	neapolitanum	15.60	Jones and Rees, 1968 (Ref. 5)	1976
Aloe	dorotheae	15.60	Zonneveld, 2002 (Ref. 440)	2005a
Allium	longiradiatum	15.65	Vakhtina et al., 1977 (Ref. 193)	1995
Aloe	rauhii	15.65	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	albiflora	15.65	Zonneveld, 2002 (Ref. 440)	2005a
Eucomis	regia	15.65	Zonneveld & Duncan, 2010 (Ref. 685)	2012
Diplatia	grandibracteata	15.68	Martin., 1983 (Ref. 109)	1991
Aloe	capitata	15.70	Zonneveld, 2002 (Ref. 440)	2005a
Tradescantia	llamasi	15.73	Martínez and Ginzo, 1985 (Ref. 181)	1995
Allium	alexeianum	15.75	Vakhtina et al., 1977 (Ref. 193)	1995
Allium	margaritae	15.75	Vakhtina et al., 1977 (Ref. 193)	1995
Aloe	marlothii	15.75	Zonneveld, 2002 (Ref. 440)	2005a
Zephyranthes	citrina	15.75	Zonneveld et al., 2005 (Ref. 466)	2005b
Moraea	calcicola	15.78	Goldblatt et al., 1984 (Ref. 137)	1991
Allium	schubertii	15.78	Vakhtina et al., 1977 (Ref. 193)	1995
Aloe	aff. jacksonii	15.78	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Allium	hookeri	15.80	Ohri et al., 1996 (Ref. 299)	1997
Aloe	saponaria	15.80	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Clematis	forsteri	15.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Agapanthus	africanus	15.80	Zonneveld & Duncan, 2003 (Ref. 483)	2011
Cephalanthera	rubra	15.81	Vesely et al., 2011 (Ref. 675)	2012
Gibasis	linearis	15.83	Jones and Kenton, 1984 (Ref. 119)	1991
Amorphophallus	johnsonii	15.83	Chauhan and Brandham, 1985 (Ref. 161)	1991
Allium	barsczewskii	15.83	Labani and Elkington, 1987 (Ref. 191)	1995
Gasteria	pulchra	15.85	Hanson et al., 1999 (Ref. 377)	2000
Scilla	gorganica	15.85	Greilhuber, 1977 (Ref. 59)	1982
Senecio	x cephalophorus	15.85	Zonneveld et al., 2005 (Ref. 466)	2005b
Narcissus	cuatrecasasii	15.85	Zonneveld, 2008 (Ref. 581)	2011
Aloe	cameronii	15.88	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Gasteria	decipiens	15.90	Hanson et al., 1999 (Ref. 377)	2000
Aloe	longistyla	15.90	Zonneveld, 2002 (Ref. 440)	2005a
Paeonia	caucasica	15.91	Punina and Alexandrova, 1992 (Ref. 459)	2005a
Allium	caspium	15.95	Ohri et al., 1996 (Ref. 299)	1997
Diplatia	furcata	16.00	Martin., 1983 (Ref. 109)	1991
Aloe	glauca	16.00	Zonneveld, 2002 (Ref. 440)	2005a
Uvularia	grandiflora	16.02	Vesely et al., 2011 (Ref. 675)	2012
Allium	kurssanovii	16.03	Ohri et al., 1996 (Ref. 299)	1997
Elymus	tenuis	16.05	Murray et al., 2005 (Ref. 528)	2011
Allium	ochroleucum	16.05	Labani and Elkington, 1987 (Ref. 191)	1995
Paeonia	lutea	16.05	Mulry and Hanson, 1999 (Ref. 374)	2000
Aloe	aristata	16.05	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	peglerae	16.05	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	gariepensis (?)	16.05	Zonneveld, 2002 (Ref. 440)	2005a
Tulipa	clusiana	16.05	Zonneveld BJM., 2009 (Ref. 619)	2012
Aloe	pendula	16.08	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Gibasis	schiedeana	16.13	Jones and Kenton, 1984 (Ref. 119)	1991
Allium	heldreichii	16.15	Ohri et al., 1996 (Ref. 299)	1997
Iris	danfordiae	16.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Paeonia	mlokosewitschii	16.18	Mulry and Hanson, 1999 (Ref. 374)	2000
Helleborus	dumetorum	16.20	Zonneveld, 2001 (Ref. 383)	2005a
Nerine	krigei	16.20	Zonneveld & Duncan, 2006 (Ref. 532)	2011
Allium	sativum	16.23	Ohri et al., 1996 (Ref. 299)	1997
Vicia	unijuga	16.23	Li and Liu, 1996 (Ref. 312)	2000
Tradescantia	rozynskii	16.25	Martínez and Ginzo, 1985 (Ref. 181)	1995
Allium	wallichii	16.25	Ohri et al., 1996 (Ref. 299)	1997
Aloe	bakeri	16.25	Zonneveld, 2002 (Ref. 440)	2005a
Allium	trifoliatum	16.28	Labani and Elkington, 1987 (Ref. 191)	1995
Poa	litorosa	16.28	Murray et al., 2005 (Ref. 528)	2011
Paeonia	caucasica	16.30	Mulry and Hanson, 1999 (Ref. 374)	2000
Scilla	pneumonanthe	16.30	Greilhuber, 1979 (Ref. 89)	1982
Aloe	sladeniana	16.30	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	descoingsii	16.30	Zonneveld, 2002 (Ref. 440)	2005a
Eucharis	grandiflora	16.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Bromus	macranthus	16.33	Bennett and Smith, 1976 (Ref. 2)	1976
Allium	carinatum	16.33	Nagl and Fusenig, 1979 (Ref. 81)	1982
Leucanthemum	vulgare	16.35	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Agropyron	junceum	16.35	Bennett, 1972 (Ref. 1)	1976
Allium	unifolium	16.35	Ohri et al., 1996 (Ref. 299)	1997
Aloe	boiteaui	16.35	Zonneveld, 2002 (Ref. 440)	2005a
Cephalanthera	damasonium	16.40	Kiehn and Schweizer, 1986 (Ref. 176)	1995
Aloe	vera	16.40	Zonneveld, 2002 (Ref. 440)	2005a
Narcissus	jonquilla	16.40	Zonneveld, 2008 (Ref. 581)	2011
Caltha	palustris	16.50	Bennett, 1972 (Ref. 1)	1976
Oxalis	dispar	16.50	De Azkue and Martínez, 1988 (Ref. 172)	1995
Paphiopedilum	exul	16.50	Hanson et al., 1999 (Ref. 377)	2000
Alisma	plantago-aquatica	16.55	Baum et al., 1989 (Ref. 269-D)	1995
Paeonia	tenuifolia	16.55	Mulry and Hanson, 1999 (Ref. 374)	2000
Aloe	bowiea	16.60	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	bellatula	16.60	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	variegata	16.60	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	suzannae	16.65	Zonneveld, 2002 (Ref. 440)	2005a
Narcissus	cavanillesii	16.65	Zonneveld, 2008 (Ref. 581)	2011
Aloe	dinteri	16.70	Zonneveld, 2002 (Ref. 440)	2005a
Maianthemum	dilatatum	16.70	Zonneveld et al., 2005 (Ref. 466)	2005b
Cephalanthera	longifolia	16.75	Kiehn and Schweizer, 1986 (Ref. 176)	1995
Paeonia	californica	16.75	Mulry and Hanson, 1999 (Ref. 374)	2000
Ranunculus	septentrionalis	16.75	Goepfert, 1974 (Ref. 44)	1976
Allium	cepa	16.75	Van't Hof, 1965 (Ref. 6)	1976
Aloe	forbesii	16.78	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Aloe	mcloughlinii	16.80	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Gasteria	rawlinsonii	16.80	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Campelia	standleyi	16.85	Lewis and Kenton, 1989 (Ref. 269-E)	1995
Aloe	claviflora	16.85	Zonneveld et al., 2005 (Ref. 466)	2005b
Narcissus	papyraceus	16.85	Zonneveld, 2008 (Ref. 581)	2011
Allium	dictyoprasum	16.90	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Aloe	humilis	16.90	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	parvula	16.90	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	rivierei	16.90	Zonneveld, 2002 (Ref. 440)	2005a
Sowerbaea	subtilis	16.93	Stewart and Barlow, 1976 (Ref. 171)	1995
Scilla	furseorum	16.95	Greilhuber, 1977 (Ref. 59)	1982
Aloe	globuligemma	16.95	Zonneveld, 2002 (Ref. 440)	2005a
Maianthemum	racemosum	16.95	Zonneveld et al., 2005 (Ref. 466)	2005b
Amyema	miquelii	16.98	Martin., 1983 (Ref. 109)	1991
Convallaria	majalis	16.99	Vesely et al., 2011 (Ref. 675)	2012
Aloe	amudatensis	17.00	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Gibasis	karwinskyana	17.03	Jones and Kenton, 1984 (Ref. 119)	1991
Allium	cernuum	17.10	Jones and Rees, 1968 (Ref. 5)	1976
Aloe	suffulta	17.15	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Narcissus	poeticus	17.28	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Hippeastrum	cybister	17.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Neottia	nidus-avis	17.31	Vesely et al., 2011 (Ref. 675)	2012
Maianthemum	canadense	17.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Amyema	pendulum	17.38	Martin., 1983 (Ref. 109)	1991
Paeonia	hybrida	17.38	Mulry and Hanson, 1999 (Ref. 374)	2000
Paeonia	veitchii	17.38	Mulry and Hanson, 1999 (Ref. 374)	2000
Pulsatilla	vulgaris	17.40	Zonneveld et al., 2005 (Ref. 466)	2005b
Allium	gomphrenoides	17.43	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Aloe	inermis	17.45	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Elytrigia	repens	17.46	Mahelka et al., 2005 (Ref. 593)	2011
Poellnitzia	rubriflora	17.50	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Macrosolen	cochinchinensis	17.53	Martin., 1983 (Ref. 109)	1991
Allium	kunthianum	17.55	Vakhtina et al., 1977 (Ref. 193)	1995
Allium	pskemense	17.55	Ohri et al., 1996 (Ref. 299)	1997
Aloe	antandroi	17.55	Zonneveld, 2002 (Ref. 440)	2005a
Arisarum	vulgare	17.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Gasteria	ellaphieae	17.55	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Allium	longicuspis	17.58	Doherty and Brandham, 1990 (Ref. 306-A)	1997
Aloe	lomatophylloides	17.60	Zonneveld, 2002 (Ref. 440)	2005a
Gasteria	nitida	17.60	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Gasteria	brachyphylla	17.60	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Agropyron	pungens	17.63	Bennett, 1972 (Ref. 1)	1976
Clivia	miniata	17.63	Bennett and Smith, 1976 (Ref. 2)	1976
Luronium	natans	17.63	Baum et al., 1989 (Ref. 269-D)	1995
Allium	altyncolicum	17.63	Ohri et al., 1996 (Ref. 299)	1997
Ornithogalum	sigmoideum	17.65	Zonneveld et al., 2005 (Ref. 466)	2005b
Nerine	bowdenii	17.65	Zonneveld & Duncan, 2006 (Ref. 532)	2011
Aloe	elegans	17.70	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	krapohliana	17.70	Zonneveld, 2002 (Ref. 440)	2005a
Gasteria	polita	17.70	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Gasteria	vlokii	17.70	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Paeonia	mascula	17.75	Mulry and Hanson, 1999 (Ref. 374)	2000
Gasteria	glauca	17.75	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Gasteria	glomerata	17.75	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Gibasis	matudae	17.78	Jones and Kenton, 1984 (Ref. 119)	1991
Aloe	prinslooi	17.80	Zonneveld, 2002 (Ref. 440)	2005a
Paphiopedilum	godefroye	17.83	Cox et al., 1996 (Ref. 300)	1997
Homeria	flaccida	17.85	Goldblatt et al., 1984 (Ref. 137)	1991
Allium	subhirsutum	17.85	Jones and Rees, 1968 (Ref. 5)	1976
Helleborus	thibetanus	17.85	Zonneveld, 2001 (Ref. 383)	2005a
Gasteria	disticha	17.85	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Allium	iliense	17.88	Vakhtina et al., 1977 (Ref. 193)	1995
Aspidistra	elatior	17.90	Bharathan et al., 1994 (Ref. 272)	1997
Aloe	sinkatana	17.90	Zonneveld, 2002 (Ref. 440)	2005a
Avenula	pratensis	17.95	Grime et al., 1985 (Ref. 133)	1991
Allium	hirsutum	17.95	Jones and Rees, 1968 (Ref. 5)	1976
Aloe	jucunda	17.95	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	secundiflora	17.95	Zonneveld, 2002 (Ref. 440)	2005a
Ornithogalum	apertum	18.00	Zonneveld et al., 2005 (Ref. 466)	2005b
Gasteria	bicolor	18.00	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Narcissus	longispathus	18.00	Zonneveld, 2008 (Ref. 581)	2011
Scilla	peruviana	18.05	Bennett, 1972 (Ref. 1)	1976
Bulbine	hookeri	18.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Tradescantia	zebrina	18.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Gasteria	baylissiana	18.05	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Allium	cirrhosum	18.09	Vesely et al., 2011 (Ref. 675)	2012
Tradescantia	sillamontana	18.15	Martínez and Ginzo, 1985 (Ref. 181)	1995
Allium	triquetrum	18.15	Jones and Rees, 1968 (Ref. 5)	1976
Pancratium	illyricum	18.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Dichelostemma	ida-maia	18.15	Zonneveld et al., 2005 (Ref. 466)	2005b
Tulipa	lemmersii	18.20	Zonneveld BJM., 2009 (Ref. 619)	2012
Allium	oschaninii	18.23	Vakhtina et al., 1977 (Ref. 193)	1995
Alstroemeria	magnifica	18.25	Buitendijk et al., 1997 (Ref. 292)	1997
Alisma	lanceolatum	18.30	Baum et al., 1989 (Ref. 269-D)	1995
Aloe	chabaudii	18.30	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	macrosiphon	18.30	Zonneveld, 2002 (Ref. 440)	2005a
Gasteria	pillansii	18.30	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Agapanthus	inapertus	18.31	Zonneveld & Duncan, 2003 (Ref. 483)	2011
Ornithogalum	arabicum	18.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Aloe	hereroensis	18.50	Zonneveld, 2002 (Ref. 440)	2005a
Allium	orientale	18.55	Vesely et al., 2011 (Ref. 675)	2012
Aloe	trichosantha	18.55	Zonneveld, 2002 (Ref. 440)	2005a
Aloe	fleurentiniorum	18.55	Zonneveld, 2002 (Ref. 440)	2005a
Disporum	sessile	18.60	Bharathan et al., 1994 (Ref. 272)	1997
Ranunculus	geoides	18.60	Goepfert, 1974 (Ref. 44)	1976
Iris	zenaidae	18.63	Hanson et al., 1999 (Ref. 377)	2000
Allium	seravshanicum	18.70	Vakhtina et al., 1977 (Ref. 193)	1995
Gasteria	excelsa	18.70	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Narcissus	broussonetii	18.70	Zonneveld, 2008 (Ref. 581)	2011
Tulipa	heterophylla	18.75	Zonneveld BJM., 2009 (Ref. 619)	2012
Iris	albomarginata	18.83	Hanson et al., 1999 (Ref. 377)	2000
Clintonia	borealis	18.85	Bharathan et al., 1994 (Ref. 272)	1997
Allium	pendulinum	18.87	Vesely et al., 2011 (Ref. 675)	2012
Allium	rupestre	18.90	Ohri et al., 1996 (Ref. 299)	1997
Aloe	maculata	19.00	Zonneveld, 2002 (Ref. 440)	2005a
Zephyranthes	candida	19.00	Zonneveld et al., 2005 (Ref. 466)	2005b
Allium	victorialis	19.05	Labani and Elkington, 1987 (Ref. 191)	1995
Allium	aroides	19.05	Vakhtina et al., 1977 (Ref. 193)	1995
Paeonia	anomala	19.05	Mulry and Hanson, 1999 (Ref. 374)	2000
Gibasis	rhodantha	19.08	Jones and Kenton, 1984 (Ref. 119)	1991
Allium	verticillatum	19.10	Ohri et al., 1996 (Ref. 299)	1997
Ranunculus	ficaria	19.10	Smith and Bennett, 1975 (Ref. 45)	1976
Gasteria	carinata	19.10	Zonneveld & van Jaarsveld, 2005 (Ref. 473)	2011
Narcissus	nevadensis	19.10	Zonneveld, 2008 (Ref. 581)	2011
Hepatica	nobilis	19.15	Mabuchi et al., 2005 (Ref. 495)	2011
